Email,Employment ID,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills
clarknatasha@example.com,60328,Debra,Peters,2021-04-21,AMEA - KSA,Sr. Consultant II,07-Grade 7,ERP Finance,Offshore,Bench,"Core HR,Talent"
amybrown@example.net,79904,Jennifer,Hudson,2024-09-26,AMEA - KSA,Manager II - Projects,T2-Programmer Trainee,AD,Offshore,Bench,"AP,AR"
greenlori@example.org,51851,Charles,Diaz,2021-07-20,UK/EUROPE - UK,Consultant I,10-Grade 9,SCM,Onsite,On Project - Fulltime,"AP,AR"
ewiggins@example.net,88786,Latoya,Gould,2024-08-13,AMEA - KSA,Sr. Consultant II,05-Grade 5,PRGM,Offshore,Freshers Training,"Core HR,Talent"
devin91@example.com,16354,Jesus,Jackson,2023-02-08,AMEA - KSA,Sr. Consultant II,09-Grade 9,SCM,Onsite,Freshers Training,"ORC,Talent"
meyerrobert@example.net,20622,Patrick,Crosby,2020-07-16,NA,Sr. Consultant II,07-Grade 7,PRGM,Onsite,On Project - Fulltime,"AP,AR"
achavez@example.com,34758,Thomas,Herman,2020-11-06,AMEA - KSA,Sr. Consultant II,T2-Programmer Trainee,ERP Finance,Offshore,Bench,"Core HR,ORC,Absence"
briannawilson@example.com,86935,Jeremiah,Brown,2021-07-05,CORPORATE,Consultant II,07-Grade 7,PRGM,Offshore,On Project - Fulltime,"Core HR,Talent"
elizabethduncan@example.net,88541,Jessica,Contreras,2024-04-29,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,SCM,Onsite,Freshers Training,"Core HR,ORC,Absence"
nicole74@example.org,64345,Rodney,Yang,2024-11-15,AMEA - KSA,Consultant II,07-Grade 7,PRGM,Onsite,On Project - Partial,PM
kristieadams@example.com,45466,Bryan,Buck,2021-06-02,UK/EUROPE - UK,Sr. Consultant II,07-Grade 7,PRGM,Onsite,On Project - Fulltime,"ORC,Talent"
danielsmith@example.com,40471,Christopher,Larson,2024-10-25,CORPORATE,Consultant II,04-Grade 4,PRGM,Offshore,Bench,"AP,AR"
cohencassandra@example.com,41036,Tamara,Valdez,2024-06-01,AMEA - KSA,Associate Consultant,T2-Programmer Trainee,AD,Onsite,On Project - Fulltime,"Core HR,Talent"
mariatanner@example.org,86446,Anthony,Summers,2021-09-25,NA,Consultant I,07-Grade 7,AD,Offshore,On Project - Fulltime,PM
bradleyrodriguez@example.net,78308,Monica,Martin,2024-03-02,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Bench,PM
matthew58@example.com,40695,Daniel,Tate,2024-10-05,CORPORATE,Consultant II,T2-Programmer Trainee,SCM,Offshore,Bench,"Core HR,ORC,Absence"
ihatfield@example.org,35241,Samantha,Gomez,2019-12-20,AMEA - KSA,Consultant I,09-Grade 9,HCM,Onsite,Bench,"ORC,Talent"
colleen11@example.net,16766,Kara,Hardy,2020-03-12,CORPORATE,Consultant II,05-Grade 5,ERP Finance,Offshore,Bench,SQL
lbrown@example.com,21892,Jared,Miller,2020-01-09,NA,Associate Consultant,T2-Programmer Trainee,HCM,Offshore,Freshers Training,"Core HR,Talent"
guzmantimothy@example.net,82309,Mary,Stewart,2021-02-28,AMEA - KSA,Manager II - Projects,09-Grade 9,ERP Finance,Onsite,Bench,"Core HR,ORC,Absence"
michaelsosa@example.com,97329,Lauren,Garcia,2023-04-07,CORPORATE,Associate Consultant,04-Grade 4,AD,Offshore,On Project - Fulltime,PM
courtney66@example.org,47292,Elaine,Johnston,2023-04-22,UK/EUROPE - UK,Consultant I,07-Grade 7,ERP Finance,Onsite,Bench,"AP,AR"
clee@example.net,23858,Dean,Jones,2020-06-20,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,SCM,Onsite,On Project - Fulltime,PM
msmith@example.net,58557,Riley,Lewis,2021-11-12,NA,Consultant II,04-Grade 4,SCM,Onsite,Freshers Training,"ORC,Talent"
steven01@example.com,23027,Kathryn,Rice,2023-05-31,AMEA - KSA,Manager II - Projects,04-Grade 4,HCM,Offshore,Bench,SQL
melissasanchez@example.net,74824,Jeremy,Ross,2022-07-05,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Freshers Training,"Core HR,Talent"
mackcarlos@example.org,57385,Rachel,Arroyo,2023-06-08,AMEA - KSA,Associate Consultant,T2-Programmer Trainee,HCM,Offshore,Bench,"Core HR,ORC,Absence"
wedwards@example.com,61852,Steven,Stewart,2024-06-04,NA,Manager II - Projects,07-Grade 7,PRGM,Onsite,On Project - Partial,"Core HR,ORC,Absence"
kimberlythompson@example.net,34231,Tracy,Steele,2020-11-07,CORPORATE,Sr. Consultant II,10-Grade 9,AD,Onsite,Freshers Training,SQL
steve33@example.net,79503,Jeffrey,Griffin,2024-04-25,AMEA - KSA,Consultant II,04-Grade 4,ERP Finance,Onsite,On Project - Fulltime,"Core HR,Talent"
jscott@example.net,10600,James,Nicholson,2020-02-07,NA,Consultant I,T2-Programmer Trainee,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
sramirez@example.net,72739,John,Williams,2023-05-16,UK/EUROPE - UK,Associate Consultant,09-Grade 9,AD,Onsite,On Project - Fulltime,"ORC,Talent"
jasonalexander@example.com,16945,James,Sanchez,2023-11-18,CORPORATE,Manager I - Delivery,10-Grade 9,AD,Onsite,Bench,"Core HR,ORC,Absence"
matthewfitzpatrick@example.net,40651,Nicholas,Cooper,2022-09-01,UK/EUROPE - UK,Sr. Consultant II,04-Grade 4,ERP Finance,Offshore,On Project - Fulltime,"Core HR,Talent"
aaronwilliams@example.org,47537,Gloria,Martinez,2020-10-20,NA,Consultant II,07-Grade 7,PRGM,Onsite,Freshers Training,PM
angela96@example.net,89373,Lisa,Crosby,2021-03-19,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"Core HR,Talent"
mgarcia@example.org,98962,Donna,Watson,2022-12-05,AMEA - KSA,Manager II - Projects,07-Grade 7,PRGM,Onsite,Bench,SQL
williamsmitchell@example.com,66390,Corey,Crosby,2021-06-29,UK/EUROPE - UK,Associate Consultant,T2-Programmer Trainee,HCM,Onsite,On Project - Fulltime,"Core HR,Talent"
michelle55@example.org,65749,Vickie,Lopez,2023-08-14,NA,Manager I - Delivery,07-Grade 7,SCM,Onsite,On Project - Fulltime,"AP,AR"
donald09@example.org,74532,Kevin,Spence,2024-04-24,AMEA - KSA,Sr. Consultant II,09-Grade 9,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
rmurphy@example.net,51815,Jeffrey,Hernandez,2020-02-20,CORPORATE,Sr. Consultant II,T2-Programmer Trainee,AD,Offshore,On Project - Partial,PM
carrillomaureen@example.com,62996,Veronica,Mckinney,2021-11-04,CORPORATE,Sr. Consultant II,05-Grade 5,HCM,Onsite,On Project - Fulltime,"Core HR,Talent"
katieandersen@example.com,48638,Tyler,Mann,2024-02-01,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,HCM,Offshore,Bench,SQL
nicholas60@example.org,85607,Michael,Martinez,2024-02-18,AMEA - KSA,Consultant I,10-Grade 9,ERP Finance,Offshore,On Project - Partial,"Core HR,ORC,Absence"
jared75@example.net,31635,Tina,Ho,2023-07-24,AMEA - KSA,Consultant I,04-Grade 4,HCM,Offshore,On Project - Partial,"Core HR,Talent"
woodkimberly@example.net,50719,Kimberly,West,2022-12-16,AMEA - KSA,Sr. Consultant II,09-Grade 9,AD,Onsite,Freshers Training,SQL
eileen76@example.net,53739,Donna,Murphy,2023-04-01,UK/EUROPE - UK,Associate Consultant,09-Grade 9,AD,Onsite,On Project - Partial,SQL
hhall@example.net,11027,Annette,Dawson,2024-01-05,AMEA - KSA,Associate Consultant,04-Grade 4,AD,Onsite,On Project - Fulltime,"Core HR,Talent"
sanchezsonya@example.com,94754,Karen,James,2024-11-13,UK/EUROPE - UK,Associate Consultant,04-Grade 4,PRGM,Offshore,Bench,PM
oli@example.com,20292,Erin,Russell,2020-03-26,CORPORATE,Consultant I,04-Grade 4,AD,Onsite,Bench,"Core HR,ORC,Absence"
jennifer46@example.com,49716,Ashley,Vasquez,2020-04-28,AMEA - KSA,Manager II - Projects,10-Grade 9,SCM,Onsite,Freshers Training,PM
fconway@example.com,43788,David,Baker,2024-08-14,CORPORATE,Manager II - Projects,04-Grade 4,SCM,Onsite,On Project - Partial,SQL
campbelldavid@example.com,19635,Christine,Gonzales,2021-06-15,UK/EUROPE - UK,Consultant I,05-Grade 5,SCM,Offshore,On Project - Partial,PM
burnsrobert@example.org,60261,Frank,Joseph,2021-10-16,CORPORATE,Consultant II,10-Grade 9,AD,Onsite,On Project - Partial,"Core HR,Talent"
shieldstyler@example.com,12387,Shawn,Mclaughlin,2023-02-02,NA,Consultant II,09-Grade 9,AD,Onsite,Freshers Training,PM
doylemitchell@example.com,38044,Carl,Reyes,2024-08-02,UK/EUROPE - UK,Manager I - Delivery,05-Grade 5,PRGM,Offshore,Freshers Training,"ORC,Talent"
johngamble@example.org,49451,Jessica,Molina,2020-07-14,NA,Sr. Consultant II,05-Grade 5,HCM,Offshore,Freshers Training,"Core HR,Talent"
heather04@example.net,86593,Angela,Collins,2023-05-01,CORPORATE,Manager I - Delivery,09-Grade 9,HCM,Offshore,Freshers Training,SQL
thomasdaniel@example.com,88211,Carly,Graves,2024-07-20,AMEA - KSA,Sr. Consultant II,04-Grade 4,ERP Finance,Onsite,Bench,"ORC,Talent"
juliawilliams@example.com,53095,Kenneth,Garrison,2023-04-08,UK/EUROPE - UK,Manager II - Projects,T2-Programmer Trainee,AD,Onsite,On Project - Fulltime,"Core HR,ORC,Absence"
reynoldsaustin@example.org,81230,Samantha,Kim,2021-10-16,NA,Manager II - Projects,04-Grade 4,AD,Offshore,Freshers Training,"ORC,Talent"
ishaw@example.net,29940,Anita,Anderson,2023-03-12,CORPORATE,Consultant I,10-Grade 9,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
hopkinsgary@example.com,61201,Mark,Miller,2020-12-20,AMEA - KSA,Consultant I,09-Grade 9,PRGM,Offshore,Freshers Training,"AP,AR"
patrickfoster@example.com,91005,Gregory,Rodriguez,2024-05-25,CORPORATE,Consultant II,09-Grade 9,PRGM,Offshore,On Project - Partial,"AP,AR"
meverett@example.net,59070,Rachel,Fisher,2021-04-08,NA,Consultant II,09-Grade 9,SCM,Onsite,Freshers Training,PM
qbriggs@example.net,88560,Tonya,Thomas,2020-09-09,UK/EUROPE - UK,Consultant II,T2-Programmer Trainee,PRGM,Offshore,On Project - Fulltime,"Core HR,Talent"
eroth@example.com,99131,George,Sawyer,2021-11-15,NA,Manager II - Projects,04-Grade 4,PRGM,Offshore,Bench,"Core HR,Talent"
bharris@example.net,50278,Ryan,Colon,2023-05-30,AMEA - KSA,Manager II - Projects,07-Grade 7,ERP Finance,Offshore,On Project - Partial,PM
kelly06@example.com,56425,Zachary,Sherman,2024-03-23,NA,Consultant I,09-Grade 9,SCM,Onsite,Bench,"Core HR,ORC,Absence"
daniel20@example.net,34734,Steven,Nguyen,2022-05-08,AMEA - KSA,Associate Consultant,10-Grade 9,SCM,Offshore,Freshers Training,"AP,AR"
stephenfreeman@example.net,77719,Andrew,Sullivan,2024-11-06,AMEA - KSA,Consultant II,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"AP,AR"
amy03@example.net,39624,Robert,Jones,2023-12-22,UK/EUROPE - UK,Consultant I,05-Grade 5,HCM,Onsite,Freshers Training,"AP,AR"
alecgardner@example.com,13800,Ryan,Thompson,2023-03-04,CORPORATE,Sr. Consultant II,10-Grade 9,HCM,Onsite,Bench,"AP,AR"
lhooper@example.net,47875,Richard,Huerta,2022-06-22,CORPORATE,Manager II - Projects,05-Grade 5,AD,Onsite,Freshers Training,"AP,AR"
caldwellbradley@example.com,68139,Lisa,Morrison,2023-01-29,AMEA - KSA,Sr. Consultant II,10-Grade 9,AD,Offshore,Freshers Training,"Core HR,Talent"
timothybrennan@example.net,17751,James,Haney,2021-03-04,NA,Consultant I,10-Grade 9,PRGM,Onsite,On Project - Partial,"AP,AR"
gcoleman@example.net,92849,Katherine,Holder,2021-08-27,AMEA - KSA,Consultant II,07-Grade 7,PRGM,Offshore,Freshers Training,"ORC,Talent"
frank26@example.com,78244,Christopher,Willis,2021-04-28,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,SCM,Offshore,Freshers Training,PM
curtiskathleen@example.com,61954,Hector,Brooks,2023-11-07,NA,Associate Consultant,10-Grade 9,ERP Finance,Onsite,On Project - Partial,PM
robertoholmes@example.org,88047,Laura,Edwards,2022-10-27,CORPORATE,Consultant I,10-Grade 9,AD,Offshore,Freshers Training,"Core HR,ORC,Absence"
spatton@example.com,74053,Carlos,Hill,2024-12-10,CORPORATE,Consultant II,10-Grade 9,PRGM,Offshore,Bench,"Core HR,Talent"
jesusbailey@example.org,20268,Joseph,Cochran,2024-07-25,UK/EUROPE - UK,Associate Consultant,10-Grade 9,HCM,Onsite,Bench,"Core HR,Talent"
erin84@example.com,14297,Joshua,Reyes,2023-12-28,UK/EUROPE - UK,Manager I - Delivery,09-Grade 9,ERP Finance,Offshore,Bench,"Core HR,Talent"
jeffreystrong@example.org,82607,William,Murphy,2024-08-08,UK/EUROPE - UK,Associate Consultant,07-Grade 7,PRGM,Offshore,Freshers Training,"AP,AR"
achen@example.com,82602,Manuel,Mckinney,2023-08-28,CORPORATE,Manager I - Delivery,10-Grade 9,AD,Offshore,Bench,"Core HR,ORC,Absence"
jsanders@example.org,54095,Jennifer,Weaver,2023-05-31,CORPORATE,Consultant I,05-Grade 5,AD,Onsite,On Project - Fulltime,"ORC,Talent"
matthew38@example.net,79056,Joshua,Hernandez,2023-02-23,CORPORATE,Manager II - Projects,04-Grade 4,PRGM,Onsite,Freshers Training,"ORC,Talent"
hooddaniel@example.com,39123,Kevin,Campos,2020-03-25,NA,Sr. Consultant II,05-Grade 5,ERP Finance,Offshore,Freshers Training,"Core HR,Talent"
lboyd@example.com,36377,Kayla,Miller,2023-09-01,AMEA - KSA,Manager II - Projects,05-Grade 5,PRGM,Offshore,Bench,SQL
austin16@example.com,61064,Joshua,Moss,2023-01-19,AMEA - KSA,Manager I - Delivery,09-Grade 9,AD,Onsite,Bench,"AP,AR"
chenderson@example.net,30906,Tyler,Vasquez,2022-02-20,UK/EUROPE - UK,Manager I - Delivery,04-Grade 4,PRGM,Onsite,Freshers Training,"Core HR,Talent"
stephenmedina@example.net,97725,Christopher,Davis,2022-12-02,AMEA - KSA,Sr. Consultant II,09-Grade 9,ERP Finance,Onsite,Freshers Training,"Core HR,Talent"
mary57@example.com,83049,Wendy,Walker,2021-04-14,AMEA - KSA,Consultant I,09-Grade 9,AD,Offshore,Freshers Training,"Core HR,ORC,Absence"
megan48@example.net,61491,Jerry,Hunter,2023-10-01,NA,Consultant I,05-Grade 5,PRGM,Offshore,On Project - Fulltime,SQL
monique26@example.org,23228,Leslie,Mendez,2022-10-15,UK/EUROPE - UK,Sr. Consultant II,05-Grade 5,SCM,Offshore,Freshers Training,PM
pamela63@example.net,13158,Charles,Baker,2022-09-13,AMEA - KSA,Associate Consultant,04-Grade 4,SCM,Onsite,Freshers Training,PM
xray@example.org,89733,Zachary,Hart,2023-02-15,CORPORATE,Manager II - Projects,05-Grade 5,PRGM,Offshore,Bench,PM
reginald38@example.net,79651,Anthony,Saunders,2020-07-08,CORPORATE,Consultant I,09-Grade 9,AD,Offshore,Bench,"Core HR,ORC,Absence"
gilmoredavid@example.org,73697,Ethan,Burke,2023-05-13,UK/EUROPE - UK,Consultant II,05-Grade 5,HCM,Onsite,Bench,SQL
andrewrose@example.org,78925,Daniel,Mcintyre,2022-07-22,CORPORATE,Consultant I,T2-Programmer Trainee,AD,Offshore,On Project - Partial,"ORC,Talent"
patelwilliam@example.net,10666,Kristine,Lee,2023-03-10,AMEA - KSA,Consultant I,05-Grade 5,PRGM,Offshore,On Project - Partial,PM
jeremybrewer@example.org,36975,Michelle,Beasley,2023-01-27,AMEA - KSA,Sr. Consultant II,T2-Programmer Trainee,ERP Finance,Offshore,On Project - Partial,SQL
hayesdawn@example.org,93337,Lisa,Dillon,2020-07-06,AMEA - KSA,Consultant I,09-Grade 9,SCM,Offshore,Freshers Training,SQL
stephanieweaver@example.com,68692,Jennifer,Vargas,2024-10-13,UK/EUROPE - UK,Consultant II,09-Grade 9,AD,Offshore,On Project - Fulltime,"Core HR,Talent"
jpowell@example.org,10320,Ashley,Phillips,2024-03-08,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,ERP Finance,Offshore,On Project - Fulltime,"Core HR,ORC,Absence"
lharrison@example.org,52425,Thomas,Nicholson,2023-03-31,NA,Manager II - Projects,07-Grade 7,PRGM,Offshore,On Project - Partial,"ORC,Talent"
gregcollins@example.org,19831,Patty,Collins,2021-07-03,UK/EUROPE - UK,Manager II - Projects,05-Grade 5,AD,Onsite,On Project - Partial,"Core HR,ORC,Absence"
bwilliams@example.com,85157,Beth,Huffman,2021-01-21,UK/EUROPE - UK,Associate Consultant,04-Grade 4,AD,Offshore,Freshers Training,PM
mrodriguez@example.com,22857,Robert,Dawson,2022-11-29,UK/EUROPE - UK,Sr. Consultant II,07-Grade 7,SCM,Onsite,On Project - Partial,PM
garyjackson@example.net,33813,Steven,Ayers,2022-05-20,UK/EUROPE - UK,Associate Consultant,05-Grade 5,PRGM,Offshore,Bench,"Core HR,ORC,Absence"
darrenobrien@example.org,11479,Amanda,Woods,2023-08-25,CORPORATE,Consultant I,09-Grade 9,SCM,Offshore,On Project - Fulltime,"ORC,Talent"
cindywilliams@example.com,37005,William,Young,2021-05-24,AMEA - KSA,Manager I - Delivery,04-Grade 4,ERP Finance,Onsite,Bench,"AP,AR"
martintheresa@example.net,65773,Rose,Mann,2022-09-08,UK/EUROPE - UK,Sr. Consultant II,07-Grade 7,AD,Offshore,Bench,"Core HR,Talent"
brandonalexander@example.com,13737,Kristen,Smith,2024-03-19,AMEA - KSA,Manager I - Delivery,10-Grade 9,ERP Finance,Onsite,Bench,SQL
brendanpruitt@example.org,45471,Sharon,Chan,2021-08-25,UK/EUROPE - UK,Consultant I,09-Grade 9,AD,Offshore,On Project - Fulltime,PM
plane@example.net,98062,Clayton,Middleton,2021-10-12,UK/EUROPE - UK,Manager I - Delivery,04-Grade 4,PRGM,Onsite,Freshers Training,"AP,AR"
knightdaniel@example.net,93473,Mia,Kirk,2020-03-23,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,ERP Finance,Onsite,Bench,SQL
zoe79@example.net,13099,Brandon,Johnson,2021-09-17,UK/EUROPE - UK,Consultant II,07-Grade 7,SCM,Offshore,On Project - Fulltime,"ORC,Talent"
mark88@example.net,29080,Sabrina,Huang,2023-12-13,NA,Manager I - Delivery,T2-Programmer Trainee,PRGM,Offshore,Bench,"Core HR,ORC,Absence"
joshua13@example.net,20729,Mark,Bennett,2024-04-01,UK/EUROPE - UK,Consultant I,T2-Programmer Trainee,ERP Finance,Offshore,Freshers Training,"Core HR,Talent"
annehanson@example.com,21051,Peter,Gray,2021-11-18,NA,Associate Consultant,04-Grade 4,AD,Onsite,Bench,"AP,AR"
ronaldhunter@example.com,95052,Steven,Tran,2023-04-27,UK/EUROPE - UK,Consultant II,07-Grade 7,ERP Finance,Offshore,Freshers Training,PM
pjacobson@example.org,93807,Misty,Austin,2023-09-20,CORPORATE,Consultant I,07-Grade 7,ERP Finance,Onsite,Freshers Training,"AP,AR"
veronica25@example.net,42818,Michelle,Phillips,2021-06-15,UK/EUROPE - UK,Manager I - Delivery,05-Grade 5,AD,Offshore,On Project - Partial,"ORC,Talent"
tylerjohnson@example.com,77301,Randy,Palmer,2020-07-26,AMEA - KSA,Associate Consultant,04-Grade 4,AD,Offshore,On Project - Partial,"AP,AR"
cschroeder@example.net,35953,Bryan,Smith,2020-08-11,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,PRGM,Offshore,On Project - Partial,"Core HR,ORC,Absence"
suareznatasha@example.com,85977,Jennifer,Moss,2023-06-21,AMEA - KSA,Manager I - Delivery,07-Grade 7,SCM,Onsite,Bench,"ORC,Talent"
elliottjohn@example.net,25715,Pamela,Thomas,2021-01-21,CORPORATE,Sr. Consultant II,10-Grade 9,ERP Finance,Onsite,Freshers Training,"ORC,Talent"
uthomas@example.org,68098,Kimberly,Little,2021-10-09,UK/EUROPE - UK,Consultant II,05-Grade 5,PRGM,Offshore,On Project - Partial,PM
kdominguez@example.org,27709,Linda,Meadows,2021-11-16,NA,Consultant II,10-Grade 9,HCM,Offshore,Bench,"Core HR,Talent"
pamela31@example.org,96180,Peter,Banks,2021-02-04,AMEA - KSA,Consultant II,T2-Programmer Trainee,HCM,Offshore,On Project - Partial,SQL
leejennifer@example.net,12014,Jean,Harrison,2022-01-17,NA,Manager II - Projects,05-Grade 5,PRGM,Onsite,Bench,"ORC,Talent"
ishea@example.com,75329,Donald,Nelson,2021-07-22,CORPORATE,Consultant I,05-Grade 5,AD,Onsite,On Project - Partial,SQL
robinsondanielle@example.net,19815,Reginald,Mata,2022-06-08,AMEA - KSA,Consultant I,T2-Programmer Trainee,ERP Finance,Onsite,On Project - Partial,"Core HR,Talent"
bryantstephen@example.com,95434,Jonathan,Cummings,2022-08-11,AMEA - KSA,Sr. Consultant II,07-Grade 7,ERP Finance,Onsite,Freshers Training,"AP,AR"
virginiataylor@example.net,61609,Julie,Carroll,2024-10-22,NA,Manager II - Projects,T2-Programmer Trainee,AD,Onsite,On Project - Fulltime,"ORC,Talent"
nicholas62@example.org,95518,Patricia,Weber,2022-11-01,NA,Consultant II,07-Grade 7,SCM,Offshore,On Project - Partial,"AP,AR"
gstevens@example.net,85765,David,Hamilton,2024-05-30,UK/EUROPE - UK,Consultant I,09-Grade 9,ERP Finance,Onsite,On Project - Partial,PM
matthewgoodman@example.org,55588,Karl,Peterson,2023-09-14,AMEA - KSA,Manager I - Delivery,07-Grade 7,ERP Finance,Onsite,Bench,SQL
johnsonjeremy@example.com,64916,Zachary,Hooper,2020-10-28,CORPORATE,Sr. Consultant II,04-Grade 4,SCM,Onsite,Bench,"Core HR,ORC,Absence"
lisacurtis@example.org,44276,Joseph,Wolf,2023-06-22,AMEA - KSA,Consultant I,05-Grade 5,SCM,Offshore,Bench,"AP,AR"
edward72@example.net,99280,Morgan,Ward,2022-09-15,NA,Consultant II,10-Grade 9,PRGM,Onsite,Bench,"AP,AR"
lblair@example.org,47965,Terri,Mccarthy,2020-08-06,NA,Consultant II,10-Grade 9,HCM,Onsite,On Project - Fulltime,SQL
simmonsstephanie@example.com,65142,Stacey,Moore,2021-12-29,UK/EUROPE - UK,Consultant II,04-Grade 4,ERP Finance,Offshore,On Project - Partial,"ORC,Talent"
morganrobert@example.net,56501,Joel,Mckay,2020-07-05,NA,Associate Consultant,07-Grade 7,SCM,Onsite,On Project - Partial,"ORC,Talent"
chasematthews@example.org,90224,Kaylee,Robinson,2020-06-19,AMEA - KSA,Consultant I,09-Grade 9,SCM,Onsite,Freshers Training,"Core HR,Talent"
derrick79@example.org,22179,Matthew,Browning,2023-07-30,AMEA - KSA,Associate Consultant,04-Grade 4,PRGM,Offshore,On Project - Fulltime,"ORC,Talent"
jason08@example.com,72626,Amanda,Johnson,2021-12-05,NA,Manager II - Projects,09-Grade 9,PRGM,Offshore,Bench,"Core HR,ORC,Absence"
porterpeter@example.org,62776,Steven,Ingram,2023-05-02,UK/EUROPE - UK,Consultant II,07-Grade 7,HCM,Offshore,On Project - Fulltime,SQL
